province,density
C·∫¢ N∆Ø·ªöC,280
ƒê·ªìng b·∫±ng s√¥ng H·ªìng,994
H‡ N?i,2182
V?nh Ph˙c,863
B?c Ninh,1432
Qu?ng Ninh,198
H?i D??ng,1070
H?i PhÚng,1268
H?ng YÍn,1258
Th·i BÏnh,1128
H‡ Nam,932
Nam ??nh,1110
Ninh BÏnh,687
Trung du v√† mi·ªÅn n√∫i ph√≠a B·∫Øc,126
H‡ Giang,103
Cao B?ng,79
B?c K?n,66
TuyÍn Quang,131
L‡o Cai,108
YÍn B·i,116
Th·i NguyÍn,348
L?ng S?n,92
B?c Giang,426
Ph˙ Th?,391
?i?n BiÍn,58
Lai Ch‚u,48
S?n La,86
HÚa BÏnh,181
B·∫Øc Trung B·ªô v√† Duy√™n h·∫£i mi·ªÅn Trung,207
Thanh HÛa,317
Ngh? An,188
H‡ T?nh,211
Qu?n BÏnh,110
Qu?ng Tr?,135
Th?a ThiÍn Hu?,235
?‡ N?ng,814
Qu?ng Nam,141
Qu?ng Ng„i,243
BÏnh ??nh,251
Ph˙ YÍn,179
Kh·nh HÚa,236
Ninh Thu?n,179
BÏnh Thu?n,154
T√¢y Nguy√™n,104
Kon Tum,52
Gia Lai,91
??k L?k,144
??k NÙng,93
L‚m ??ng,132
ƒê√¥ng Nam B·ªô,697
BÏnh Ph??c,139
T‚y Ninh,277
BÏnh D??ng,741
??ng Nai,505
B‡ R?a -V?ng T‡u,551
TP. H? ChÌ Minh,4025
ƒê·ªìng b·∫±ng s√¥ng C·ª≠u Long,433
Long An,332
Ti?n Giang,693
B?n Tre,528
Tr‡ Vinh,441
V?nh Long,687
??ng Th·p,499
An Giang,611
Kien Giang,280
C?n Th?n,874
H?u Giang,476
SÛc Tr?ng,396
B?c LiÍu,332
C‡ Mau,234
